IDs	size (bp)	RNA-seq	Genome
PgCP_00000009	2416	2416	0
PgCP_00000010	1093	1093	0
PgCP_00000011	1087	1087	0
PgCP_00000001	8744	8744	0
PgCP_00000002	4959	4959	0
PgCP_00000013	3675	3675	0
PgCP_00000014	3692	3692	0
PgCP_00000015	1459	1459	0
PgCP_00000016	1156	1156	0
PgCP_00000017	1291	1291	0
PgCP_00000018	1366	1366	0
PgCP_00000019	1693	1693	0
PgCP_00000020	1190	1190	0
PgCP_00000021	1517	1517	0
PgCP_00000029	2217	2217	0
PgCP_00000007	1024	1024	0
PgCP_00000025	1667	1667	0
PgCP_00000033	881	881	0
PgCP_00000070	921	921	0
PgCP_00000071	946	946	0
PgCP_00000072	896	896	0
PgCP_00000073	949	949	0
PgCP_00000034	4661	4661	0
PgCP_00000035	5354	5354	0
PgCP_00000074	3369	3369	0
PgCP_00000075	2781	2781	0
PgCP_00000076	3857	3857	0
PgCP_00000077	2527	2527	0
PgCP_00000078	2949	2949	0
PgCP_00000079	2618	2618	0
PgCP_00000080	2870	2870	0
PgCP_00000081	3150	3150	0
PgCP_00000082	2863	2863	0
PgCP_00000083	3025	3025	0
PgCP_00000084	2940	2940	0
PgCP_00000085	2950	2950	0
PgCP_00000086	2906	2906	0
PgCP_00000087	2787	2787	0
PgCP_00000088	2805	2805	0
PgCP_00000089	1452	1452	0
PgCP_00000090	1639	1639	0
PgCP_00000092	1551	1551	0
PgCP_00000093	1631	1631	0
PgCP_00000094	4311	4311	0
PgCP_00000039	2193	2193	0
PgCP_00000040	2158	2158	0
PgCP_00000041	1288	1288	0
PgCP_00000097	2877	2877	0
PgCP_00000098	3759	3759	0
PgCP_00000099	1733	1733	0
PgCP_00000100	1659	1659	0
PgCP_00000101	1777	1777	0
PgCP_00000042	2062	2062	0
PgCP_00000115	937	937	0
PgCP_00000043	2073	2073	0
PgCP_00000044	2197	2197	0
PgCP_00000102	1169	1169	0
PgCP_00000103	1337	1337	0
PgCP_00000104	2161	2161	0
PgCP_00000117	1419	1419	0
PgCP_00000118	1798	1798	0
PgCP_00000045	351	351	0
PgCP_00000119	1985	1985	0
PgCP_00000046	1047	1047	0
PgCP_00000047	1300	1300	0
PgCP_00000105	1500	1500	0
PgCP_00000106	1514	1514	0
PgCP_00000107	1393	1393	0
PgCP_00000048	1823	1823	0
PgCP_00000108	3365	3365	0
PgCP_00000109	3337	3337	0
PgCP_00000110	3222	3222	0
PgCP_00000111	1454	1454	0
PgCP_00000052	676	676	0
PgCP_00000053	2737	2737	0
PgCP_00000054	1964	1964	0
PgCP_00000055	1023	1023	0
PgCP_00000056	1321	1321	0
PgCP_00000057	1324	1324	0
PgCP_00000058	3933	3933	0
PgCP_00000059	2429	2429	0
PgCP_00000060	3662	3662	0
PgCP_00000061	2989	2989	0
PgCP_00000062	1950	1950	0
PgCP_00000063	854	854	0
PgCP_00000064	2403	2403	0
PgCP_00000065	2017	2017	0
PgCP_00000066	1076	1076	0
PgCP_00000067	1215	1215	0
PgCP_00000068	1148	1148	0
PgCP_00000069	2447	2447	0
PgCP_00000122	2106	2106	0
